"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Path Planning for Energy Management of Smart Maritime Electric Vehicles: A Blockchain-Based Solution","A. Barnawi; S. Aggarwal; N. Kumar; D. M. Alghazzawi; B. Alzahrani; M. Boulares","Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Computer Science and Engineering, Thapar Institute of Engineering and Technology, Patiala, India; Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia; Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia; Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia; Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia",IEEE Transactions on Intelligent Transportation Systems,"8 Feb 2023","2023","24","2","2282","2295","Vehicle-to-grid (V2G) technology is used in the modern eco-friendly environment for demand response management. It helps in reducing the carbon footprints in the environment. However, security and privacy of the information exchange between different entities are significant concerns keeping in view of the information exchange via an open channel, i.e., Internet among different entities such as plug-in hybrid electric vehicles (PHEVs), charging stations (CSs), and controllers in V2G environment. With an exponential rise in Electric vehicles (EVs) usage across the globe, there is a requirement of developing a seamless charging infrastructure for charging and billing. Moreover, secure information flow needs to be maintained at different levels in such an environment. Hence, this paper proposes a blockchain-based demand response management for efficient energy trading between EVs and CSs. In this proposal, miner nodes and block verifiers are selected using their power consumption and processing power. These nodes are responsible for the authentication of various transactions in the proposal. We also proposed a game theory-based solution to support energy management and peak load control off-peak and peak conditions. The proposed scheme has been evaluated using various performance evaluation metrics where its performance is found superior in comparison to the existing solutions in the literature.","1558-0016","","10.1109/TITS.2021.3131815","Institutional Fund Projects(grant numbers:IFPHI-176-611-2020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9652091","Vehicle-to-grid;electric vehicles;scheduling;blockchain;game theory","Vehicle-to-grid;Green products;Renewable energy sources;Blockchains;Demand response;Privacy;Electric vehicle charging","","33","","59","IEEE","15 Dec 2021","Feb. 2023","","IEEE","IEEE Journals"
"Decentralized Assignment of Electric Vehicles at Charging Stations Based on Personalized Cost Functions and Distributed Ledger Technologies","M. Moschella; P. Ferraro; E. Crisostomi; R. Shorten","Department of Energy, Systems, Territory and Constructions Engineering, University of Pisa, Pisa, Italy; Dyson School of Engineering Design, Imperial College London, London, U.K; Department of Energy, Systems, Territory and Constructions Engineering, University of Pisa, Pisa, Italy; Dyson School of Engineering Design, Imperial College London, London, U.K",IEEE Internet of Things Journal,"6 Jul 2021","2021","8","14","11112","11122","In this article, we propose a stochastic decentralized algorithm to recommend the most convenient charging station (CS) to plug-in electric vehicles (PEVs) that need charging. In particular, we use different cost functions to describe the possibly different priorities of PEV drivers, such as the preference to minimize charging costs, charging times, or the distance between them and the CS. For this purpose, we leverage on an Internet of Things architecture based on a permissioned distributed ledger technology (DLT) to enforce compliance of drivers and reduces the occurrence of detrimental misbehaviors of drivers. Extensive simulations performed with the mobility simulator SUMO in realistic city-wide networks have been provided to illustrate how the proposed PEV assignment procedure works in practice, and to validate its performance.","2327-4662","","10.1109/JIOT.2021.3052045","IOTA Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9326417","Cyber–physical systems;distributed ledger technology (DLT);electric vehicles (EVs);smart cities","Vehicles;Cascading style sheets;Internet of Things;Economics;Cost function;Electric vehicles;Distributed ledger","","40","","42","IEEE","18 Jan 2021","15 July15, 2021","","IEEE","IEEE Journals"
"A Privacy-Preserving Charging Scheme for Electric Vehicles Using Blockchain and Fog Computing","H. Li; D. Han; M. Tang","College of Information Engineering, Shanghai Maritime University, Shanghai, China; College of Information Engineering, Shanghai Maritime University, Shanghai, China; School of Information Science and Technology, Guangdong University of Foreign Studies, Guangzhou, China",IEEE Systems Journal,"26 Aug 2021","2021","15","3","3189","3200","A distributed charging system based on the Internet of Things can provide important supports to ensure the safe and sustainable operation of electric vehicles (EVs). Usually, drivers prefer to use local charging piles by querying the remote cloud server. Frequent communication with the cloud server will not only produce an unnecessary communication overhead but also increase the latency of response. More seriously, the cloud-based centralized management mode is vulnerable to cyber-attacks, which usually leads to privacy leakage. However, previous studies seldom focus on the privacy issue of the charging system for EVs. In this article, a decentralized and privacy-preserving charging scheme for EVs is proposed, which is based on blockchain and fog computing. In this scheme, fog computing is introduced to provide local computing with low latency. Specifically, a fog computing network, which is composed of fog computing nodes (FCNs), is used to provide localized services. Besides, a flexible consortium blockchain architecture is proposed. The blockchain system is deployed on the distributed FCNs, providing a decentralized and secure storage environment. By combining mutual authentication, smart contract, and blockchain-based storage, the security of privacy in the charging process can be ensured. The theoretical analysis and experiments demonstrate the advantages of the proposed scheme.","1937-9234","","10.1109/JSYST.2020.3009447","China Natural Science Funding(grant numbers:61873160); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9151272","Blockchain;fog computing;security and privacy;smart contract;vehicle charging","Edge computing;Cloud computing;Privacy;Servers;Electric vehicle charging","","93","","34","IEEE","28 Jul 2020","Sept. 2021","","IEEE","IEEE Journals"
"A Blockchain-Enabled Secure Authentication and Fair Trading Scheme for Shared Charging Systems","C. Bi; Y. Cao; Y. Ren; Y. Tian; L. Wan; W. Ke","School of Cyber Science and Engineering, Wuhan University, Wuhan, China; School of Cyber Science and Engineering, Wuhan University, Wuhan, China; School of Cyber Science and Engineering, Wuhan University, Wuhan, China; College of Big Data and Information Engineering, Guizhou University, Guiyang, China; School of Cyber Science and Engineering, Wuhan University, Wuhan, China; Wuhan Cloud Computing Technology Company Ltd., Wuhan, China",IEEE Transactions on Network Science and Engineering,"20 Jan 2026","2026","13","","5603","5621","With the rapid development of the Electric Vehicle (EV) market, the growing demand for electricity charging has driven the evolution of private charging infrastructure toward shared deployment. Shared Charging Systems (SCSs) play a vital role in integrating both private and public Charging Piles (CPs), thereby improving overall resource utilization. However, such multi-party SCSs introduce challenges in security and fairness. EVs and CPs exchange parameters via wireless communication to optimize the charging process, which may exposes various threats such as tampering, eavesdropping, replay, and deletion attacks. Meanwhile, the distributed deployment of CPs complicates charging fee calculation management and may lead to issues such as malicious overcharging. To address these challenges, we propose a blockchain-enabled secure authentication and fair trading scheme, ensuring secure communication while guaranteeing transparency and fairness for SCSs. First, we design a pairing-free heterogeneous signcryption algorithm that supports distributed key generation. It realizes efficient mutual authentication based on this algorithm while preventing information leakage during the process. We provide a rigorous security proof under the Random Oracle Model (ROM) to establish its security. Second, we develop a blockchain-based smart contract mechanism to enable decentralized and transparent charging fee calculation, as well as automated payments. By eliminating third-party intermediaries, our solution reduces trading costs whle effectively addresses challenges such as charging fee calculation difficulties and malicious overcharging in distributed CP deployments. Experimental results show that the proposed scheme outperforms existing approaches in terms of both computational and communication overhead. Additionally, our smart contracts incur extremely low gas costs, enhancing the feasibility of the scheme.","2327-4697","","10.1109/TNSE.2025.3648844","Hubei Province Key Research and Development Program(grant numbers:2024BAB051); EU HORIZON-TMA-MSCA-SE Project TRACE-V2X(grant numbers:101131204); Hubei Province International Science and Technology Collaboration Program(grant numbers:2024EHA048); European Union HORIZON-Talent and Mobility Actions-Marie Skłodowska-Curie Actions-Staff Exchanges(grant numbers:10113120); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11316394","Authentication;heterogeneous signcryption;ROM;blockchain;smart contract","Authentication;Security;Blockchains;Cryptography;Smart contracts;Costs;Public key;Wireless communication;Vehicle dynamics;Scalability","","","","82","IEEE","26 Dec 2025","2026","","IEEE","IEEE Journals"
"Blockchain-Based Self-Certified Key Exchange Protocol for Hybrid Electric Vehicles","A. Shahidinejad; J. Abawajy","School of Information Technology, Deakin University, Geelong, VIC, Australia; School of Information Technology, Deakin University, Geelong, VIC, Australia",IEEE Transactions on Consumer Electronics,"29 Apr 2024","2024","70","1","543","553","How to safely and anonymously interact with fog nodes’ charging stations is a big deal for hybrid electric vehicles in fog-based vehicular networks. Although there exist key exchange protocols, which tried to cover this critical concern, most of them are certificate-based. In addition, they do not support key revocation option or cannot totally resist advanced cyber attacks such as key compromise impersonation attack. As a result, this paper, by means of Blockchain, proposes a highly-secure self-certified key exchange protocol with an exceptional level of privacy. By the proper employment of distributed ledger, the suggested protocol can also support the authentication token revocation and immutability. Formal security and performance analyses as well as comparison with top scholarly articles demonstrate the distinct security features and applicability of the proposed protocol.","1558-4127","","10.1109/TCE.2023.3347598","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10375258","Authentication;blockchain;electric vehicle;fog computing;privacy","Protocols;Security;Authentication;Hybrid electric vehicles;Blockchains;Impersonation attacks;Servers","","14","","44","IEEE","27 Dec 2023","Feb. 2024","","IEEE","IEEE Journals"
"A User-Preference-Based Charging Station Recommendation for Electric Vehicles","A. Habbal; M. F. Alrifaie","Department of Computer Engineering, Innovative Networked Systems (INETs) Research Group, Karabuk University, Karabuk, Türkiye; Department of Computer Engineering, Faculty of Engineering, Karabuk University, Karabuk, Türkiye",IEEE Transactions on Intelligent Transportation Systems,"29 Aug 2024","2024","25","9","11617","11634","The popularity of electric vehicles (EVs) is increasing, leading to higher demand for electric vehicle charging stations (EVCS). It is crucial to select an appropriate charging station based on user preferences; however, current selection solutions are limited and primarily focus on proximity or price. Such an approach neglects other significant factors of interest to EV users, namely charging time, waiting time, charging cost, and available facilities near the EVCS. To address this issue, this paper proposes a novel recommendation scheme, the User-Preferences based Charging Station Recommendation Scheme (UPCSRS), which integrates user preferences with Multiple Attribute Decision Making (MADM) theory to suggest the best available charging stations for EV users. UPCSRS consists of two parts: adopting Analytical Hierarchical Process (AHP) for weighting the importance of each selection criterion and the Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS) for ranking available charging stations. A mathematical model of the proposed scheme was developed, and then the effectiveness and accuracy were evaluated using MATLAB and a real dataset from the US Department of Energy website. Results showed that this proposed scheme provides more precise and personalized recommendations for users compared to current solutions that only consider the nearest or cheapest option. By enhancing the overall user experience through a more customized and efficient charging station selection process, this proposed scheme has the potential to contribute to more EVs adoption.","1558-0016","","10.1109/TITS.2024.3379469","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494708","Multi-attribute decision-making;recommendation scheme;electric vehicles","Charging stations;Vehicles;Costs;Petroleum;Automobiles;Vehicle dynamics;Real-time systems","","22","","31","IEEE","8 Apr 2024","Sept. 2024","","IEEE","IEEE Journals"
"Implementation of Hybrid Blockchain in a Pre-Owned Electric Vehicle Supply Chain","G. Subramanian; A. S. Thampy","School of Electronics Engineering, Vellore Institute of Technology, Vellore, India; Centre for Nanotechnology Research, Vellore Institute of Technology, Vellore, India",IEEE Access,"14 Jun 2021","2021","9","","82435","82454","Ecumenical carbon dioxide (CO2) emission emanates from car, bus, taxi, and motorcycle is around 45%. Electric vehicle could be the major contributor to abbreviate the pollution level in a transportation sector. According to the Forbes report the ecumenical passenger electric vehicle demand expected to reach 15% in 2025, and 23% in 2030. This research provides a blockchain predicated solution for a pre-owned electric vehicle market that could engender a trust, transparency, immutable records, and an efficient way to track the entire life cycle of a futuristic electric vehicle supply chain. At present most of the pre-owned electric conveyance purchase transpires through the third-party accommodations, websites, and mobile applications. This does not provide the authentic information on electric conveyance history, charging capabilities of the battery, history of the charging records, and performance of the driver (wear and tear affect battery life). Our solution implemented utilizing hybrid blockchain technology. Each stakeholder assigned with the Ethereum blockchain address to track the vehicle records as a distributed ledger. This design considered electric vehicle manufacturer, charging station, battery manufacturer, road convey ascendancy as major stakeholders. Astute contract designed with solidity programming. Truffle platform used to deploy keenly intellective contract in private blockchain that ascertain the privacy of electric conveyance owners and other stakeholders. Meta mask a mobile application utilized kovan network for tracking vehicle in a public blockchain. This application tested with 0.1 Ether for each transaction. Blockchain Electric Vehicle Cloud of Things (BEVCoT) concept proposed to integrate the IoT-Blockchain application in a cloud environment.","2169-3536","","10.1109/ACCESS.2021.3084942","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9444477","Automobile sector;blockchain;distributed ledger;cloud;mobile application;Ethereum sandbox;meta mask;transaction;vehicle;transparency;truffle;QR code","Blockchain;Automobiles;Stakeholders;Distributed ledger;Industries;Mobile applications;History","","59","","89","CCBY","31 May 2021","2021","","IEEE","IEEE Journals"
"A Privacy-Preserving Authenticated Key Exchange Protocol for V2G Communications Using SSI","R. P. Parameswarath; P. Gope; B. Sikdar","Department of Electrical and Computer Engineering, College of Design and Engineering, National University of Singapore, Singapore; Department of Computer Science, University of Sheffield, Sheffield, U.K.; Department of Electrical and Computer Engineering, College of Design and Engineering, National University of Singapore, Singapore",IEEE Transactions on Vehicular Technology,"14 Nov 2023","2023","72","11","14771","14786","The popularity of Electric Vehicles (EVs) has been rising globally in recent years. With the demand for EVs, associated cyber threats are also increasing. Users expose their personal information while charging their EVs, leading to privacy threats. This article proposes a user-empowered, privacy-aware, authenticated key exchange protocol for Vehicle-to-Grid (V2G) communications. The proposed protocol leverages the concept of Self-Sovereign Identity (SSI) and is based on the concept of Decentralized Identifiers (DID) and Verifiable Credentials (VCs). The use of DIDs empowers users by helping them to have complete control over their identities. The charging station and the user verify that the other party is legitimate by verifying the VC before proceeding with the charging services. Key recovery is another issue we address in this article. A method to recover lost keys is incorporated into the proposed protocol. The proposed protocol also incorporates an effective user revocation policy. We present formal security proof and informal analysis to show the protocol's robustness against several attacks. We also provide a detailed performance analysis to show that the proposed protocol is efficient.","1939-9359","","10.1109/TVT.2023.3281371","Ministry of Education - Singapore(grant numbers:A-0009040-00-00,A-0009040-01-00); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10138699","Accumulator;decentralized identifier (DID);electric vehicle (EV) charging;privacy;user-empowered authentication;user revocation;vehicle-to-grid (V2G);verifiable credential (VC)","Protocols;Vehicle-to-grid;Privacy;Authentication;Electric vehicle charging;Blockchains;Automobiles","","18","","44","IEEE","30 May 2023","Nov. 2023","","IEEE","IEEE Journals"
"TAURITE: Stackelberg Equilibrium in Blockchained Energynet Through Electric Vehicles","G. Kumar; R. Saha; M. Conti; J. J. P. C. Rodrigues","Department of Mathematics, University of Padua, Padua, Italy; Department of Mathematics, University of Padua, Padua, Italy; Department of Mathematics, University of Padua, Padua, Italy; COPELABS, Lusófona University, Lisbon, Portugal",IEEE Transactions on Intelligent Transportation Systems,"3 Mar 2025","2025","26","3","4122","4139","The integration of Electric Vehicles (EVs) into the energynet, the network from power generation to EV charging station, presents a symbiotic relationship with potential benefits for sustainable and efficient transportation. However, the existing research has revealed challenges in maintaining an equilibrium between energy supply and demand, often resulting in underutilization or overutilization of energy networks. Blockchain technology has emerged as a promising solution to enhance transparency and secure decentralized energy distribution; however fails to connect the equilibrium in the presence of uncertainty of demand-supply and/or handling information cascading. In this paper, we introduce TAURITE (sTAckelberg eqUilibRium in blockchaIned energyneT with Evs), a novel blockchain-based energynet framework that explicitly leverages the Stackelberg model for energy flow equilibrium within EV interfaces. TAURITE employs Subgame Perfect Nash Equilibrium (SPNE) to address demand uncertainty in dynamic vehicular environments. It also tackles information cascades’ impact on energy distribution, demonstrating its ability to maintain equilibrium even in such scenarios. TAURITE introduces a multi-variate polynomial-based key generation process through the smart contract AVTAL and incorporates Proof-of-Energy-Equilibrium (PoEE) as an energy sector consensus mechanism. Experimental results show that TAURITE significantly improves throughput, latency, and energy efficiency, with an average 30% enhancement in these metrics. Notably, TAURITE ensures 100% allocation stability, even in the presence of information cascades, marking a substantial advancement in sustainable and efficient energy management within the evolving energynet-EV ecosystem.","1558-0016","","10.1109/TITS.2024.3523748","Brazilian National Council for Scientific and Technological Development—CNPq(grant numbers:313036/2020-9); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10834440","Blockchain;energy;electric;vehicle;equilibrium;stackelberg","Blockchains;Games;Resource management;Electricity;Electric vehicle charging;Ecosystems;Uncertainty;Power system stability;Power grids;Nash equilibrium","","1","","61","IEEE","8 Jan 2025","March 2025","","IEEE","IEEE Journals"
"RBCET: A Reputation-Based Blockchain Consensus Mechanism for Fast and Secured Energy Trading in Internet of Electric Vehicles (IoEV)","A. Kumar; K. K. Mondal; L. Vishwakarma; D. Das","Department of IDRP: IoT and Applications, Indian Institute of Technology Jodhpur, Jodhpur, India; Inter-Disciplinary Research Division: Centre for AIoT & Applications, Indian Institute of Technology Jodhpur, Jodhpur, India; Department of Computer Science and Engineering, Thapar Institute of Engineering and Technology, Patiala, India; Department of Computer Science and Engineering, Indian Institute of Technology Jodhpur, Jodhpur, India",IEEE Transactions on Consumer Electronics,"18 Aug 2025","2025","71","2","3040","3051","The state-of-the-art consensus mechanisms in blockchain-based Internet of Electric Vehicles (IoEV) prove suboptimal for energy trading due to their heavy CPU workload, high bandwidth consumption, energy inefficiencies, and the backlog of pending transactions. Also, the network is susceptible to attacks such as double-spending, Distributed Denial of Service (DDoS), eclipse, Sybil, and collusion attacks. Addressing these challenges, this paper introduces RBCET, a reputation-based consensus mechanism explicitly designed for energy trading within the IoEV blockchain network. The RBCET computes the reputation score (RS) of nodes (e.g., Electric Vehicles (EVs) and Charging Stations (CSs)) in the IoEV network using a decision tree regressor (DTR) model. This model utilizes the reputation parameter dataset generated by a relational mathematical model. RBCET allows only those EVs and CSs to participate in energy trading whose RS value exceeds the average RS value. Additionally, we also propose a hardware-based incentive mechanism to calculate and store incentives to enhance the efficiency of energy trading. Security analysis shows that RBCET resists the attacks mentioned above. Furthermore, we have developed a testbed using 10 Raspberry Pi 4 devices to demonstrate the performance of RBCET compared with state-of-the-art schemes. This comparison shows that RBCET reduces CPU workload by 47%, energy consumption by 10%, bandwidth usage by 5%, the volume of pending transactions by 75%, and overall improves efficiency by 62%.","1558-4127","","10.1109/TCE.2025.3542172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10887292","Blockchain;consensus algorithm;electrical vehicle;energy trading;Internet of electric vehicles (IoEV)","Blockchains;Mathematical models;Consensus protocol;Security;Electric vehicles;Computational modeling;Consumer electronics;Scalability;Real-time systems;Face recognition","","2","","21","IEEE","14 Feb 2025","May 2025","","IEEE","IEEE Journals"
"An Efficient and Secure Trading Framework for Shared Charging Service Based on Multiple Consortium Blockchains","Z. Sun; P. Zhao; C. Wang; X. Zhang; H. Cheng","Zhejiang University of Technology, Hangzhou, China; College of Computer, Zhejiang University of Technology, Hangzhou, China; Zhejiang University of Technology, Hangzhou, China; Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Science&Technology, Zhejiang University of Technology, Hangzhou, China",IEEE Transactions on Services Computing,"8 Aug 2023","2023","16","4","2437","2450","While electric vehicles are proliferating rapidly, the number of charging piles is only 1/16 of the number of electric vehicles, showing big tension between small supply of public charging piles and intense charging demand of electric vehicles. To alleviate the tension, it is highly desired to incorporate existing idle private charging piles into a shared charging service. However, existing solutions do not well implement the system due to some non-negligible issues, like poor consensus performance or lack of verification for outputs from blockchain networks. In the article, we propose an efficient and secure trading framework built atop multiple consortium blockchains. It devises a novel node voting mechanism so as to improve consensus efficiency. Meanwhile, it employs a publicly verifiable design based on the $(t,n)$(t,n) Boneh-Lynn-Shacham (BLS) threshold signature technique, so as to enable entities outside the blockchain to verify the consistency between the output results with the valid consensus. Besides these novel system-level designs, it also introduces a fair and robust trading strategy running by smart contracts on the platform. Furthermore, we implemented a proof-of-concept system and conducted extensive experiments. The results show that the overall latency across chains is reduced by about 26% with the node voting mechanism and the transactions fees are comparable to recent popular cross-chain applications.","1939-1374","","10.1109/TSC.2022.3216659","National Natural Science Foundation of China(grant numbers:62072407,61402413); Leading Goose Project Plan(grant numbers:2022C01086,2022C03139); Nature Science Foundation of Zhejiang Province(grant numbers:LY19F020023); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9927377","Cross-chain exchange;shared charging service;consortium blockchain","Blockchains;Internet of Things;Smart contracts;Relays;Peer-to-peer computing;Fault tolerant systems;Fault tolerance","","11","","40","IEEE","25 Oct 2022","1 July-Aug. 2023","","IEEE","IEEE Journals"
"Ultra-Lightweight and Secure Blockchain-Assisted Charging Scheduling Scheme for Vehicular Edge Networks by Utilization of NanoPi NEO","A. Shahidinejad; D. Abbasinezhad-Mood","School of Information Technology, Deakin University, Geelong, VIC, Australia; Department of Computer Engineering, Imam Reza International University, Mashhad, Iran",IEEE Transactions on Vehicular Technology,"16 Aug 2022","2022","71","8","8116","8123","In vehicular edge computing networks, electric vehicles can get charging services from edge servers through some road-side charging stations. Several recent studies have investigated how to deal with security requirements in these communications. Nevertheless, simultaneous provision of security and lightness, which is crucial for resource-constrained vehicles, is still an open issue. More critically, the anonymity from the perspective of honest-but-curious edge nodes has not been yet addressed. Thus, this paper proposes a novel ultra-lightweight framework for the secure and anonymous communications of vehicles during their charging reception by means of blockchain. Thanks to the blockchain technology, the accountability of electric vehicle possessors guaranteed. The proposed scheme has been validated in terms of security metrics and also implemented on two ARM-based platforms, one 32-bit ARM microcontroller and one 64-bit ARM processor. Further, its blockchain part has been deployed on a Hyperledger Fabric network. The obtained results besides the comparison with well-respected similar schemes acknowledge the usefulness and practicability of the presented scheme.","1939-9359","","10.1109/TVT.2022.3173076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9770364","Blockchain;Edge computing;Privacy;Secure communications;Vehicular networks","Servers;Electric vehicles;Blockchains;Authentication;Privacy;Edge computing;Smart contracts","","27","","26","IEEE","6 May 2022","Aug. 2022","","IEEE","IEEE Journals"
"A Cross-Chain Trusted Reputation Scheme for a Shared Charging Platform Based on Blockchain","Y. He; C. Zhang; B. Wu; Y. Yang; K. Xiao; H. Li","School of Information Science and Technology, North China University of Technology, Beijing, China; School of Information Science and Technology, North China University of Technology, Beijing, China; Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; School of Information Science and Technology, North China University of Technology, Beijing, China; School of Information Science and Technology, North China University of Technology, Beijing, China; Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China",IEEE Internet of Things Journal,"23 May 2022","2022","9","11","7989","8000","With the development of electric vehicles, the shortage of charging piles (CPs) has gradually been exposed. In response to this situation, CP operators have taken private CPs into the shared charging system. Due to the lack of maintenance personnel for private CPs that join shared charging, users often face the problems of damaged CPs and poor service attitudes of CP owners. Reputation solutions based on third-party platforms face a problem of single-point failures and reputation solutions based on blockchain face problems of storage and query efficiency. To improve storage and query efficiency, this article proposes a multichain charging model that stores different types of information on different blockchains. However, it faces the problem of unreliable information called across chains, when calculating reputation across chains. Therefore, this article proposes a cross-chain trusted smart contract ( $C_{2}T$  smart contract) to ensure the authenticity, real-time, and interchain write mutual exclusion of cross-chain information, making reputation calculation in the multichain charging model more convenient and more accurate. Especially, we propose a data mutual trust mechanism based on Merkle proof to ensure the authenticity of cross-chain information and prevent forged information from participating in calculating reputation. Furthermore, we present a data structure composed of multiple counting Bloom filters (MCBFs) to verify the real time of information and filter out non-real-time information, thereby ensuring the real time of the calculated reputation. In addition, we put forward an algorithm to guarantee the interchain write mutual exclusion by hash mutexes, making the reputation calculation process more accurate and complete. The security analysis and experimental results demonstrate that  $C_{2}T$  smart contract is feasible in practice.","2327-4662","","10.1109/JIOT.2021.3099898","Beijing Municipal Natural Science Foundation(grant numbers:M21029); National Key Research and Development Program of China(grant numbers:2018YFB1800302); Natural Science Foundation of China(grant numbers:61802005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9495937","Charging model;cross-chain;multichain;reputation;smart contract","Blockchains;Smart contracts;Real-time systems;Internet of Things;Faces;Data models;Special issues and sections","","48","","42","IEEE","26 Jul 2021","1 June1, 2022","","IEEE","IEEE Journals"
"An Efficient Blockchain-Based Authentication Scheme for Energy-Trading in V2G Networks","S. Aggarwal; N. Kumar; P. Gope","Department of Computer Science and Engineering, Thapar Institute of Engineering and Technology, Patiala, India,; Department of Computer Science and Engineering, Thapar Institute of Engineering and Technology, Patiala, India,; Department of Computer Science, The University of Sheffield, Sheffield, U.K.",IEEE Transactions on Industrial Informatics,"12 Jul 2021","2021","17","10","6971","6980","Vehicle-to-grid (V2G) networks have been emerged as a new technology in the smart grid (SG). These networks allow a two-way flow of energy-trading between electric vehicles (EVs) and charging stations (CSs) in the SG. EVs are regarded as one of the most effective tools to reduce energy demands. It will bring a great impact on our society and human life. Thus, during energy trading between EVs and CSs, various security, and privacy challenges occur in V2G networks. Although several proposals have been proposed, still there are many issues like lack of integrity, mutual authentication, and identity privacy-preservation make the system more vulnerable. Researchers have used the centralized system in V2G networks which may act as a single point of failure. So, for deploying secure V2G networks in the SG, we propose an energy-trading scheme having blockchain between three communicating parties, i.e., EVs, CSs, utility center. The proposed system is divided into three phases, first, the registration process provides identity privacy-preservation to the EVs and CSs, second, the searching process makes the registration and key-generation steps faster, and third, the authentication process provides mutual authentication between them and a blockchain network is used to execute transactions using Merkle Root Hash. The security analysis result shows that the proposed scheme is secure for energy-trading in V2G networks. The performance evaluation results illustrate that our scheme has less communication cost and computation time as compared to the existing proposals.","1941-0050","","10.1109/TII.2020.3030949","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9224190","Blockchain;charging stations (CSs);electric vehicles (EVs);Merkle root hash (MRH);mutual authentication;smart grid (SG);vehicle-to-grid (V2G)","Vehicle-to-grid;Authentication;Protocols;Blockchain;Privacy;Cascading style sheets","","94","","37","IEEE","14 Oct 2020","Oct. 2021","","IEEE","IEEE Journals"
"Fairness and Utilitarianism in Allocating Energy to EVs During Power Contingencies Using Modified Division Rules","A. Hussain; P. Musilek","Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada",IEEE Transactions on Sustainable Energy,"21 Jun 2022","2022","13","3","1444","1456","In order to maximize utilitarianism and fairness in allocating energy to electric vehicles (EVs) during outages, this study proposes an optimization method based on modified division rules. The idea of essential energy demand is introduced in this paper to maximize the number of EVs that are served during power contingencies. For EVs carrying out the time-critical task(s), the essential energy demand is defined as the amount of energy required by EVs to accomplish their upcoming task(s). For EVs carrying out delay-tolerant tasks, it is defined as the amount of energy required by EVs to travel to a nearby healthy charging station. To this end, an EV ranking mechanism is devised considering the full and essential energy demands along with the urgency of EVs. Subsequently, EVs with higher ranks are prioritized during energy allocation. The performance of the proposed method is compared with four existing division rules, i.e., proportional, constrained equal awards, constrained equal losses, and sequential priority rules. A utilitarianism index is proposed to analyze the performance of these methods and fairness is evaluated using existing indices, such as Jain's fairness index and cost of fairness index. The proposed method has outperformed existing division rules in both utilitarianism and fairness for the essential energy demand. Finally, a sensitivity analysis of uncertain parameters such as EV fleet size, available/required energy, and weight factors is carried out to analyze the performance of the proposed method under various conditions.","1949-3037","","10.1109/TSTE.2022.3161897","Natural Sciences and Engineering Research Council of Canada(grant numbers:ALLRP 549804-19); Alberta Electric System Operator; AltaLink; ATCO Electric; ENMAX; EPCOR Distribution and Transmission Inc.; FortisAlberta; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9740518","Division rules;electric vehicles;energy allocation;fairness;power outage;resilience;utilitarianism","Resource management;Indexes;Power system reliability;Transportation;Task analysis;Costs;Charging stations","","27","","49","IEEE","23 Mar 2022","July 2022","","IEEE","IEEE Journals"
